t,detected,conf,cx,cy,size
19.430,True,0.879,-0.441,-0.317,0.0231
19.513,True,0.866,-0.446,-0.336,0.0217
19.567,True,0.846,-0.454,-0.356,0.0226
19.631,True,0.856,-0.480,-0.375,0.0220
19.697,True,0.872,-0.513,-0.394,0.0230
19.760,True,0.854,-0.558,-0.408,0.0244
19.834,True,0.858,-0.608,-0.422,0.0247
19.898,True,0.858,-0.662,-0.435,0.0259
19.967,True,0.854,-0.703,-0.435,0.0269
20.036,True,0.860,-0.757,-0.439,0.0283
20.098,True,0.859,-0.797,-0.442,0.0295
20.167,True,0.869,-0.820,-0.435,0.0313
20.232,True,0.846,-0.838,-0.436,0.0312
20.301,True,0.872,-0.850,-0.433,0.0325
20.366,True,0.874,-0.850,-0.429,0.0326
20.433,True,0.875,-0.848,-0.431,0.0336
20.512,True,0.867,-0.843,-0.431,0.0346
20.565,True,0.873,-0.838,-0.424,0.0361
20.632,True,0.874,-0.825,-0.424,0.0353
20.698,True,0.886,-0.810,-0.442,0.0334
20.765,True,0.867,-0.792,-0.469,0.0336
20.832,True,0.879,-0.773,-0.504,0.0348
20.900,True,0.869,-0.755,-0.526,0.0329
20.967,True,0.877,-0.747,-0.522,0.0336
21.033,True,0.882,-0.747,-0.486,0.0359
21.102,True,0.870,-0.758,-0.435,0.0373
21.165,True,0.886,-0.777,-0.382,0.0416
21.234,True,0.868,-0.793,-0.321,0.0433
21.298,True,0.861,-0.803,-0.261,0.0433
21.368,True,0.868,-0.807,-0.183,0.0457
21.437,True,0.869,-0.816,-0.111,0.0473
21.518,True,0.862,-0.820,-0.025,0.0516
21.602,True,0.868,-0.830,0.071,0.0512
21.664,True,0.825,-0.838,0.165,0.0582
21.732,True,0.831,-0.845,0.218,0.0535
21.802,True,0.824,-0.848,0.307,0.0548
21.867,True,0.841,-0.852,0.340,0.0484
21.932,True,0.803,-0.858,0.414,0.0486
22.001,True,0.856,-0.863,0.446,0.0458
22.066,True,0.834,-0.866,0.463,0.0424
22.133,True,0.866,-0.866,0.504,0.0421
22.202,True,0.862,-0.866,0.532,0.0417
22.267,True,0.869,-0.866,0.557,0.0420
22.333,True,0.881,-0.859,0.568,0.0437
22.399,True,0.874,-0.850,0.588,0.0465
22.467,True,0.876,-0.841,0.600,0.0504
